seat,name
TN-2,Tim Burchett
TN-3,Chuck Fleischmann
TN-4,Scott DesJarlais
TN-5,Andy Ogles
TN-6,John Rose
TN-7,Mark Green
TN-8,David Kustoff
TN-9,Steve Cohen
TX-1,Nathaniel Moran
TX-2,Daniel Crenshaw
TX-3,Keith Self
TX-4,Patrick Fallon
TX-5,Lance Gooden
TX-6,Jake Ellzey
TX-7,Elizabeth Fletcher
TX-8,Morgan Luttrell
TX-9,Al Green
TX-10,Michael McCaul
TX-11,August Pfluger
TX-12,Craig Goldman
TX-13,Ronny Jackson
TX-14,Randy Weber
TX-15,Monica De La Cruz
TX-16,Veronica Escobar
TX-17,Pete Sessions
TX-18,
TX-19,Jodey Arrington
TX-20,Joaquin Castro
TX-21,Chip Roy
TX-22,Troy Nehls
TX-23,Tony Gonzales
TX-24,Beth Van Duyne
TX-25,Roger Williams
TX-26,Brandon Gill
TX-27,Michael Cloud
TX-28,Henry Cuellar
TX-29,Sylvia Garcia
TX-30,Jasmine Crockett
TX-31,John Carter
TX-32,Julie Johnson
TX-33,Marc Veasey
TX-34,Vicente Gonzalez
TX-35,Greg Casar
TX-36,Brian Babin
TX-37,Lloyd Doggett
TX-38,Wesley Hunt
UT-1,Blake Moore
UT-2,Celeste Maloy
UT-3,Mike Kennedy
UT-4,Burgess Owens
VA-1,Rob Wittman
VA-2,Jennifer A. Kiggans
VA-3,Bobby Scott
VA-4,Jennifer McClellan
VA-5,John McGuire
VA-6,Ben Cline
VA-7,Eugene Vindman
VA-8,Don Beyer
VA-9,Morgan Griffith
VA-10,Suhas Subramanyam
VA-11,Gerry Connolly
VT-AL,Becca Balint
WA-1,Suzan DelBene
WA-2,Rick Larsen
WA-3,Marie Gluesenkamp Pérez
WA-4,Dan Newhouse
WA-5,Michael Baumgartner
WA-6,Emily Randall
WA-7,Pramila Jayapal
WA-8,Kim Schrier
WA-9,Adam Smith
WA-10,Marilyn Strickland
WI-1,Bryan Steil
WI-2,Mark Pocan
WI-3,Derrick Van Orden
WI-4,Gwen Moore
WI-5,Scott L. Fitzgerald
WI-6,Glenn Grothman
WI-7,Tom Tiffany
WI-8,Tony Wied
WV-1,Carol Miller
WV-2,Riley Moore
WY-AL,Harriet Hageman
